input_id,round_id,fc1_min_abs_diff,fc1_max_abs_diff,fc1_mean_abs_diff,fc2_min_abs_diff,fc2_max_abs_diff,fc2_mean_abs_diff,fc3_min_abs_diff,fc3_max_abs_diff,fc3_mean_abs_diff,all_layers_max_diff,all_layers_min_of_max,real_input,pred_input,inverse_method
1,1,0.041073620319366455,3.1050617694854736,1.087048888206482,0.16022717952728271,2.972161293029785,1.0803714990615845,0.0,0.0,0.0,3.1050617694854736,0.0,"[-1.4739367961883545, 1.2036579847335815, -1.5625348091125488, -1.3126027584075928]","[0.29292261600494385, 0.23040062189102173, 0.08517307788133621, -0.39835065603256226]",pseudo_inverse
1,2,0.041073620319366455,3.1050617694854736,1.087048888206482,0.16022717952728271,2.972161293029785,1.0803714990615845,0.0,0.0,0.0,3.1050617694854736,0.0,"[-1.4739367961883545, 1.2036579847335815, -1.5625348091125488, -1.3126027584075928]","[0.29292261600494385, 0.23040062189102173, 0.08517307788133621, -0.39835065603256226]",svd
1,3,0.039645612239837646,3.1092634201049805,1.087111234664917,0.16074800491333008,2.983078956604004,1.0820553302764893,0.0,0.0,0.0,3.1092634201049805,0.0,"[-1.4739367961883545, 1.2036579847335815, -1.5625348091125488, -1.3126027584075928]","[0.29360345005989075, 0.2293291985988617, 0.08387602865695953, -0.399162232875824]",regularized
2,1,0.022483378648757935,3.021535873413086,1.1306967735290527,0.04638969898223877,2.6626720428466797,0.9880548715591431,0.0,0.0,0.0,3.021535873413086,0.0,"[-0.13307079672813416, 2.9923758506774902, -1.2760063409805298, -1.0456327199935913]","[0.3336883783340454, 0.24716460704803467, 0.07508584856987, -0.3957163393497467]",pseudo_inverse
2,2,0.022483378648757935,3.021535873413086,1.1306967735290527,0.04638969898223877,2.6626720428466797,0.9880548715591431,0.0,0.0,0.0,3.021535873413086,0.0,"[-0.13307079672813416, 2.9923758506774902, -1.2760063409805298, -1.0456327199935913]","[0.3336883783340454, 0.24716460704803467, 0.07508584856987, -0.3957163393497467]",svd
2,3,0.022483378648757935,3.0214672088623047,1.129202961921692,0.0460280179977417,2.674077033996582,0.989795446395874,0.0,0.0,0.0,3.0214672088623047,0.0,"[-0.13307079672813416, 2.9923758506774902, -1.2760063409805298, -1.0456327199935913]","[0.334209144115448, 0.24644917249679565, 0.07372933626174927, -0.39611202478408813]",regularized
3,1,0.0007784292101860046,1.1139672994613647,0.35485976934432983,0.06193013861775398,1.5097287893295288,0.5130180716514587,0.0,0.0,0.0,1.5097287893295288,0.0,"[1.0858982801437378, 0.08570939302444458, 0.3858582079410553, 0.2892175614833832]","[0.029530853033065796, 0.021216554567217827, 0.27089351415634155, 0.08867670595645905]",pseudo_inverse
3,2,0.0007784292101860046,1.1139672994613647,0.35485976934432983,0.06193013861775398,1.5097287893295288,0.5130180716514587,0.0,0.0,0.0,1.5097287893295288,0.0,"[1.0858982801437378, 0.08570939302444458, 0.3858582079410553, 0.2892175614833832]","[0.029530853033065796, 0.021216554567217827, 0.27089351415634155, 0.08867670595645905]",svd
3,3,0.0018205568194389343,1.1106784343719482,0.35478001832962036,0.06193013861775398,1.5119837522506714,0.512915849685669,0.0,0.0,0.0,1.5119837522506714,0.0,"[1.0858982801437378, 0.08570939302444458, 0.3858582079410553, 0.2892175614833832]","[0.02901819348335266, 0.02122703194618225, 0.2713230848312378, 0.08909175544977188]",regularized
4,1,0.012424111366271973,2.602506637573242,0.9067109227180481,0.06584030389785767,2.700669765472412,0.9518654346466064,0.0,0.0,0.0,2.700669765472412,0.0,"[-1.2301429510116577, 0.7564785480499268, -1.218700647354126, -1.3126027584075928]","[0.22924575209617615, 0.20116916298866272, 0.11382424086332321, -0.33117759227752686]",pseudo_inverse
4,2,0.012424111366271973,2.602506637573242,0.9067109227180481,0.06584030389785767,2.700669765472412,0.9518654346466064,0.0,0.0,0.0,2.700669765472412,0.0,"[-1.2301429510116577, 0.7564785480499268, -1.218700647354126, -1.3126027584075928]","[0.22924575209617615, 0.20116916298866272, 0.11382424086332321, -0.33117759227752686]",svd
